Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Personalised Message On Cake (product.metafields.custom.personalised_message_on_cake),EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Allergen information (product.metafields.shopify.allergen-information),Flavor (product.metafields.shopify.flavor),Flour/Grain type (product.metafields.shopify.flour-grain-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-ultimate-teal-temptation-drip-cake,The Ultimate Teal Temptation Drip Cake,"<p data-path-to-node=""4"">Welcome them back in the sweetest way possible with a cake that’s loaded with all their favorites! This vibrant <b data-index-in-node=""133"" data-path-to-node=""4"">teal-blue masterpiece</b> features a crisp white vertical-stripe detail and a playful blue drip.</p>
<p data-path-to-node=""4"">The top is a decadent playground of textures, piled high with <b data-path-to-node=""5"" data-index-in-node=""62"">Ferrero Rocher gold-wrapped truffles, classic Oreo cookies, and rich chocolate flake bars</b>, all nestled in clouds of bicolored buttercream. Whether it’s a ""Welcome Home"" surprise or a bold birthday celebration, this cake is designed for those who believe there’s no such thing as ""too many toppings.""</p>",CAKE CORNER,"Food, Beverages & Tobacco > Food Items > Bakery > Cakes & Dessert Bars > Cakes",Cake,"",true,Size,6,,,,,,,,,0.0,shopify,5,deny,manual,25.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/essaa.jpg?v=1773252866,1,"",false,,,,,,,,,,,,,,,,,,eggs; milk; nuts; wheat,chocolate; vanilla,wheat,,kg,,,active
the-ultimate-teal-temptation-drip-cake,,,,,,,,,8,,,,,,,,,0.0,shopify,5,deny,manual,32.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/esa.jpg?v=1773252866,2,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,
the-ultimate-teal-temptation-drip-cake,,,,,,,,,10,,,,,,,,,0.0,shopify,5,deny,manual,48.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/essa.jpg?v=1773252867,3,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,
the-pink-butterfly-dream-square-cake,The Pink Butterfly Dream Square Cake,"<p data-path-to-node=""4""> Break away from the traditional round cake with this chic and vibrant <b data-path-to-node=""4"" data-index-in-node=""91"">square-cut masterpiece</b>. Wrapped in a unique <b data-path-to-node=""4"" data-index-in-node=""135"">horizontal ribbed pink frosting</b>, this cake is a texture-lover's dream. It features a lush border of piped buttercream swirls, accented with shimmering <b data-path-to-node=""4"" data-index-in-node=""286"">pink pearls</b> and ruby chocolate shards for an extra bite of luxury.</p>",CAKE CORNER,"Food, Beverages & Tobacco > Food Items > Bakery > Cakes & Dessert Bars > Cakes",Cake,"",true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,85.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/11.jpg?v=1773251888,1,"",false,,,,,,,,,,,,,,,,,,eggs; milk; wheat,chocolate,wheat,,kg,,,active
the-pink-butterfly-dream-square-cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/4708/5421/files/22.jpg?v=1773251888,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,
the-midnight-cocoa-blossom-cake,The Midnight Cocoa Blossom Cake,"<p data-path-to-node=""4"">For the Mom who truly appreciates the finer things, this cake is a chocolate lover’s dream. Coated in a unique <b data-path-to-node=""4"" data-index-in-node=""132"">velvety chocolate crumb finish</b>, this cake offers a delightful texture that perfectly complements its rich, moist interior.</p>
<p data-path-to-node=""5"">The top is finished with a smooth dark chocolate glaze, framed by <b data-path-to-node=""5"" data-index-in-node=""66"">intricate fudge rosettes</b> and a pair of hand-sculpted, soft pink roses. With ""Happy Mother's Day"" elegantly piped in white, it’s a timeless and delicious way to show your appreciation.</p>",CAKE CORNER,"Food, Beverages & Tobacco > Food Items > Bakery > Cakes & Dessert Bars > Cakes",Cake,"",true,Size,"6""",,,,,,,,,0.0,shopify,5,deny,manual,45.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/WhatsAppImage2026-02-26at22.53.42.jpg?v=1773130855,1,"",false,,,,,,,,,,,,,,,,,,eggs; milk; wheat,chocolate,wheat,,kg,,,active
the-midnight-cocoa-blossom-cake,,,,,,,,,"10""",,,,,,,,,0.0,shopify,4,deny,manual,65.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
the-midnight-cocoa-blossom-cake,,,,,,,,,"12""",,,,,,,,,0.0,shopify,5,deny,manual,85.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
the-decadent-chocolate-heart-mother-s-day-cake,The Decadent Chocolate Heart Mother’s Day Cake,"<p data-path-to-node=""4"">Show Mom exactly how much she's loved with a gift straight from the heart. This <b data-path-to-node=""4"" data-index-in-node=""101"">heart-shaped chocolate masterpiece</b> is smothered in velvety cocoa frosting and finished with a <b data-path-to-node=""4"" data-index-in-node=""195"">luxurious dark chocolate ganache drip</b>.</p>
<p data-path-to-node=""5"">Topped with elegant, hand-piped mocha cream roses and a delicate white buttercream accent, this cake balances rich flavors with a sophisticated aesthetic. With ""Happy Mother's Day"" scripted beautifully across the top, it’s a soulful, delicious way to celebrate the woman who means the world to you.</p>",CAKE CORNER,"Food, Beverages & Tobacco > Food Items > Bakery > Cakes & Dessert Bars > Cakes",Cake,cake,true,Size,"6""",,,,,,,,,0.0,shopify,5,deny,manual,40.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/WhatsAppImage2026-02-26at22.53.41.jpg?v=1773130644,1,"",false,,,,,,,,,,,,,,cake,,,,eggs; milk; wheat,chocolate; coffee,wheat,,kg,,,active
the-decadent-chocolate-heart-mother-s-day-cake,,,,,,,,,"10""",,,,,,,,,0.0,shopify,5,deny,manual,55.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
the-decadent-chocolate-heart-mother-s-day-cake,,,,,,,,,"12""",,,,,,,,,0.0,shopify,5,deny,manual,75.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
the-royal-blush-tiara-cake,The Royal Blush Tiara Cake,"<p data-path-to-node=""3""> Treat her like the queen she is with our most regal design yet. This exquisite <b data-path-to-node=""4"" data-index-in-node=""100"">soft blush-pink cake</b> is a masterpiece of elegance, adorned with a stunning <b data-path-to-node=""4"" data-index-in-node=""175"">crystalline silver crown</b> and a delicate drape of edible pearls.</p>
<p data-path-to-node=""5"">Nestled among a lush garden of fresh-looking silk roses and gold-accented blooms, it features shimmering <b data-path-to-node=""5"" data-index-in-node=""105"">rose gold ""Happy Birthday"" script</b> and scattered gold leaf details. From the sparkling gems to the golden heart at the base, every inch of this cake is designed for a celebration that demands nothing less than perfection.</p>",CAKE CORNER,"Food, Beverages & Tobacco > Food Items > Bakery > Cakes & Dessert Bars > Cakes",Cake,"",true,Size,"6""",,,,,,,,,0.0,shopify,5,deny,manual,47.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/WhatsAppImage2026-02-26at22.53.40.jpg?v=1773128296,1,"",false,,,,,,,,,,,,,,,,,,eggs; milk; wheat,,wheat,,kg,,,active
the-royal-blush-tiara-cake,,,,,,,,,"10""",,,,,,,,,0.0,shopify,5,deny,manual,65.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
the-royal-blush-tiara-cake,,,,,,,,,"12""",,,,,,,,,0.0,shopify,5,deny,manual,85.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
the-radiant-rosette-mother-s-day-cake,The Radiant Rosette Mother’s Day Cake,"<p data-path-to-node=""4"">Elegant, vibrant, and timeless—just like Mom. This exquisite creation features a <b data-path-to-node=""4"" data-index-in-node=""102"">flawless silk-white finish</b>, topped with a magnificent wreath of <b data-path-to-node=""4"" data-index-in-node=""166"">multi-tonal pink rosettes</b>. Each delicate swirl is accented with <b data-path-to-node=""4"" data-index-in-node=""230"">luxurious gold sugar pearls</b>, adding a touch of royal flair to her celebration.</p>
<p data-path-to-node=""5"">The centerpiece features a stunning gold-script ""Happy Mother's Day"" heart, set against a soft watercolor pink backdrop. It’s a sophisticated blend of modern artistry and classic floral charm that is guaranteed to make her feel like the queen she is.</p>",CAKE CORNER,"Food, Beverages & Tobacco > Food Items > Bakery > Cakes & Dessert Bars > Cakes",Cake,"",true,Size,"6""",,,,,,,,,0.0,shopify,5,deny,manual,47.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/WhatsAppImage2026-02-26at22.53.39_16cdcdd8-1e17-47bf-b49b-4245b9b5e028.jpg?v=1773127418,1,"",false,,,,,,,,,,,,,,,,,,eggs; milk; wheat,vanilla,wheat,,kg,,,active
the-radiant-rosette-mother-s-day-cake,,,,,,,,,"10""",,,,,,,,,0.0,shopify,5,deny,manual,65.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
the-radiant-rosette-mother-s-day-cake,,,,,,,,,"12""",,,,,,,,,0.0,shopify,5,deny,manual,85.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
the-golden-elegance-mom-birthday-cake,"The Golden Elegance ""Mom"" Birthday Cake","<p data-path-to-node=""4"">Celebrate the woman who does it all with a cake as multifaceted as she is. This tall, artisanal masterpiece features a <b data-path-to-node=""4"" data-index-in-node=""140"">textured pink-to-white design</b>, highlighted by a luxurious <b data-path-to-node=""4"" data-index-in-node=""198"">hand-painted gold rim</b>. Adorned with a vibrant bouquet of fresh-looking silk roses, a delicate gold butterfly, and a shimmering ""Mom"" acrylic topper, it’s designed to be the highlight of the party.</p>
<p data-path-to-node=""5"">Finished with a classic <b data-path-to-node=""5"" data-index-in-node=""24"">pearl border</b> and a diamante-studded base, this cake is the definition of ""sophisticated sweetness."" It’s more than a dessert; it’s a centerpiece worthy of her special day.</p>",CAKE CORNER,"Food, Beverages & Tobacco > Food Items > Bakery > Cakes & Dessert Bars > Cakes",Cake,"",true,Size,"6""",,,,,,,,,0.0,shopify,5,deny,manual,65.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/WhatsAppImage2026-02-26at22.53.39.jpg?v=1773127176,1,"",false,,,,,,,,,,,,,,,,,,eggs; milk; wheat,chocolate; vanilla,wheat,,kg,,,active
the-golden-elegance-mom-birthday-cake,,,,,,,,,"10""",,,,,,,,,0.0,shopify,5,deny,manual,85.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
the-golden-elegance-mom-birthday-cake,,,,,,,,,"12""",,,,,,,,,0.0,shopify,5,deny,manual,99.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
the-pink-ombre-rose-celebration-cake,The Pink Ombre Rose Celebration Cake,"<p data-path-to-node=""4"">Make her feel truly cherished with a centerpiece as sweet as she is. This elegant layer cake features a stunning <b data-path-to-node=""4"" data-index-in-node=""134"">hand-piped ombre gradient</b>, transitioning from a deep magenta to a soft, creamy white. Topped with a garden of <b data-path-to-node=""4"" data-index-in-node=""244"">delicate buttercream roses</b> and a signature fondant heart, this cake isn't just a dessert—it’s a gesture of love.</p>
<p data-path-to-node=""5"">Each slice offers a perfect balance of moist sponge and silky-smooth frosting. Whether it’s for Mother’s Day, a milestone birthday, or a ""just because"" surprise, this cake brings the ""wow"" factor to every celebration.</p>",CAKE CORNER,"Food, Beverages & Tobacco > Food Items > Bakery > Cakes & Dessert Bars > Cakes",Cake,"",true,Size,"6""",,,,,,,,,0.0,shopify,10,deny,manual,47.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/WhatsAppImage2026-02-26at22.53.38.jpg?v=1773126356,1,"",false,,,,,,,,,,,,,,,,,,eggs; milk; wheat,unflavored,wheat,,kg,,,active
the-pink-ombre-rose-celebration-cake,,,,,,,,,"10""",,,,,,,,,0.0,shopify,10,deny,manual,65.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
the-pink-ombre-rose-celebration-cake,,,,,,,,,"12""",,,,,,,,,0.0,shopify,10,deny,manual,85.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
minnion-smile-birthday-cake,Minnion Smile Birthday Cake,"<p data-start=""21"" data-end=""51""> </p>
<p data-start=""76"" data-end=""411"" data-is-last-node="""" data-is-only-node="""">A cheerful Minion-inspired cake designed to bring smiles to any birthday celebration. Decorated with bright yellow frosting, playful goggles, and a cute smiling face, this cake is perfect for kids and Minion fans alike. Soft, delicious layers inside make every bite fun and memorable, turning your party into a joyful celebration.</p>",CAKE CORNER,"Food, Beverages & Tobacco > Food Items > Bakery > Cakes & Dessert Bars > Cakes",Cake,"",true,Size,"10""",,,,,,,,,0.0,shopify,10,deny,manual,85.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/WhatsAppImage2026-02-26at22.53.37_94bfcf71-ba6c-4d48-91ec-ef95debac9ff.jpg?v=1773069061,1,"",false,,,,,,,,,,,,,,,,,,,,,,kg,,,active
dino-roar-birthday-cake,Dino Roar Birthday Cake,"<p data-start=""21"" data-end=""48"">A fun and adorable dinosaur-themed cake perfect for little adventurers celebrating their special day. Featuring a cute textured dinosaur design with bright, playful colors and festive sprinkles, this cake brings excitement to any birthday party. Soft, delicious layers inside make every slice as delightful as the celebration itself. Perfect for kids who love dinosaurs and big birthday roars!</p>",CAKE CORNER,Uncategorized,Cake,"",true,Size,"10""",,,,,,,,,0.0,shopify,10,deny,manual,85.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/WhatsAppImage2026-02-26at22.53.36.jpg?v=1773068879,1,"",false,,,,,,,,,,,,,,,,,,,,,,kg,,,active
dino-roar-birthday-cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/4708/5421/files/WhatsAppImage2026-02-26at22.53.37.jpg?v=1773068879,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,
midnight-gold-harmony-cake,Midnight Gold Harmony Cake,"<p>A stunning two-tone designer cake that blends deep midnight blue with luxurious golden buttercream in a beautiful harmony design. Decorated with elegant piping, metallic pearls, and star accents, this cake creates a perfect balance of bold and sophisticated style. Ideal for celebrations where you want a centerpiece that feels both modern and luxurious, every slice delivers rich flavor wrapped in artistic elegance.</p>",CAKE CORNER,"Food, Beverages & Tobacco > Food Items > Bakery > Cakes & Dessert Bars > Cakes",Cake,"",true,Size,"10""",,,,,,,,,0.0,shopify,10,deny,manual,120.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/WhatsAppImage2026-02-26at22.53.31.jpg?v=1773068474,1,"",false,,,,,,,,,,,,,,,,,,eggs; milk; wheat,,wheat,,kg,,,active
midnight-gold-harmony-cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/4708/5421/files/WhatsAppImage2026-02-26at22.53.34.jpg?v=1773068474,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,
midnight-gold-harmony-cake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/4708/5421/files/WhatsAppImage2026-02-26at22.53.32.jpg?v=1773068474,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,
viral-fruits-mix-patisseries,Viral Fruits Mix Patisseries,"<p data-start=""378"" data-end=""680"">Brighten up your dessert table with our <strong data-start=""418"" data-end=""450"">Viral Fruits Mix Patisseries</strong> — a delightful assortment of handcrafted pastries filled with a variety of fresh, seasonal fruits. Each patisserie features delicate, flaky buttery layers and a perfectly balanced fruity filling for a vibrant and indulgent treat.</p>
<p data-start=""682"" data-end=""939"">Made using premium ingredients and inspired by traditional French baking techniques, this assortment offers a colorful and luxurious dessert experience. Each bite delivers freshness, sweetness, and a light, crisp texture that keeps you coming back for more.</p>
<p data-start=""941"" data-end=""953"">Perfect for:</p>
<ul data-start=""954"" data-end=""1058"">
<li data-start=""954"" data-end=""982"">
<p data-start=""956"" data-end=""982"">Parties and celebrations</p>
</li>
<li data-start=""983"" data-end=""1000"">
<p data-start=""985"" data-end=""1000"">Afternoon tea</p>
</li>
<li data-start=""1001"" data-end=""1021"">
<p data-start=""1003"" data-end=""1021"">Dessert platters</p>
</li>
<li data-start=""1022"" data-end=""1033"">
<p data-start=""1024"" data-end=""1033"">Gifting</p>
</li>
<li data-start=""1034"" data-end=""1058"">
<p data-start=""1036"" data-end=""1058"">Fruit dessert lovers</p>
</li>
</ul>
<p data-start=""1060"" data-end=""1170"">Freshly baked and carefully crafted, these patisseries bring a burst of flavor and elegance to every occasion.</p>
<p data-start=""1172"" data-end=""1317""> Assorted seasonal fruit fillings<br data-start=""1206"" data-end=""1209""> Flaky, buttery French pastry<br data-start=""1239"" data-end=""1242""> Freshly baked for premium taste<br data-start=""1275"" data-end=""1278""> Colorful and luxurious presentation</p>",CAKE CORNER,"Food, Beverages & Tobacco > Food Items > Bakery > Pastries & Scones",Viral Fruits,"#FrenchPatisserie, #FreshlyBaked, #FruitDesserts, #GourmetPastry, #LuxuryDesserts, #Viral Fruits Mix Patisseries",true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,55.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0970/4708/5421/files/ViralFruitsMixPatisseries1.jpg?v=1771322233,1,"",false,,"Viral Fruits Mix Patisseries with assorted fresh fruit fillings and flaky pastry. Order now for a colorful, handcrafted gourmet dessert experience.",,,,,,,,,,,,,,,,eggs; milk; wheat,strawberry; chocolate; orange,wheat,,kg,,,active
viral-fruits-mix-patisseries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/4708/5421/files/ViralFruitsMixPatisseries2.jpg?v=1771322233,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,
viral-fruits-mix-patisseries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/4708/5421/files/ViralFruitsMixPatisseries3.jpg?v=1771322233,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,
viral-fruits-mix-patisseries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/4708/5421/files/ViralFruitsMixPatisseries4.jpg?v=1771322233,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,
